,labels,roi_di
0,2,0.8864445615992658
1,3,0.779517852250936
2,4,0.8216468649131241
3,5,0.5248447204968943
4,7,0.9011979989468142
5,8,0.9421884346581659
6,10,0.9008526453869699
7,11,0.8400055409336473
8,12,0.8621886484279297
9,13,0.8536679536679537
10,14,0.8264132066033016
11,15,0.8738836854715748
12,16,0.9538965503295992
13,17,0.8164224186150576
14,18,0.820543093270366
15,24,0.6885536823425021
16,26,0.5850340136054422
17,28,0.7978902953586499
18,30,0.12499999999999997
19,31,0.4676258992805755
20,41,0.8848991134000901
21,42,0.7750775886391422
22,43,0.8050503532241093
23,44,0.5487042001787309
24,46,0.8885530546623793
25,47,0.935239187940211
26,49,0.9047698188466013
27,50,0.8174658007461655
28,51,0.8717899021222986
29,52,0.8269653052261747
30,53,0.8051179222763296
31,54,0.8091872791519434
32,58,0.7417004048582996
33,60,0.8076109936575052
34,62,0.15384615384615388
35,63,0.5168539325842696
36,77,0.3136582017844886
37,85,0.4011299435028249
38,251,0.86
39,252,0.7843137254901961
40,253,0.7984726347051336
41,254,0.7148703956343793
42,255,0.7333333333333334
