image name,10,12,13,17,18,26,49,50,51,52,53,54,58
act24_06_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
pass9_06_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
act12_06_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
pass21_06_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
