image name,10,12
pass9_08_all_none_firstseg.nii.gz,6738,3027
act24_11_all_none_firstseg.nii.gz,6849,3150
act12_12_all_none_firstseg.nii.gz,6804,3278
act12_15_all_none_firstseg.nii.gz,6804,3278
act12_13_all_none_firstseg.nii.gz,6804,3278
pass9_07_all_none_firstseg.nii.gz,6738,3027
act12_05_all_none_firstseg.nii.gz,6804,3278
pass21_10_all_none_firstseg.nii.gz,6929,2990
act24_05_all_none_firstseg.nii.gz,6849,3150
pass21_07_all_none_firstseg.nii.gz,6929,2990
act24_08_all_none_firstseg.nii.gz,6849,3150
act12_07_all_none_firstseg.nii.gz,6804,3278
act24_10_all_none_firstseg.nii.gz,6849,3150
pass9_05_all_none_firstseg.nii.gz,6738,3027
pass21_13_all_none_firstseg.nii.gz,6929,2990
act12_10_all_none_firstseg.nii.gz,6804,3278
act24_06_all_none_firstseg.nii.gz,6849,3150
act24_13_all_none_firstseg.nii.gz,6849,3150
pass21_15_all_none_firstseg.nii.gz,6929,2990
pass9_06_all_none_firstseg.nii.gz,6738,3027
pass21_11_all_none_firstseg.nii.gz,6929,2990
pass9_13_all_none_firstseg.nii.gz,6738,3027
pass21_09_all_none_firstseg.nii.gz,6929,2990
pass9_12_all_none_firstseg.nii.gz,6738,3027
act24_07_all_none_firstseg.nii.gz,6849,3150
pass9_09_all_none_firstseg.nii.gz,6738,3027
pass9_10_all_none_firstseg.nii.gz,6738,3027
pass21_12_all_none_firstseg.nii.gz,6929,2990
act24_12_all_none_firstseg.nii.gz,6849,3150
pass21_05_all_none_firstseg.nii.gz,6929,2990
act12_08_all_none_firstseg.nii.gz,6804,3278
act12_11_all_none_firstseg.nii.gz,6804,3278
pass21_08_all_none_firstseg.nii.gz,6929,2990
pass9_15_all_none_firstseg.nii.gz,6738,3027
act12_06_all_none_firstseg.nii.gz,6804,3278
act24_15_all_none_firstseg.nii.gz,6849,3150
act12_09_all_none_firstseg.nii.gz,6804,3278
pass9_11_all_none_firstseg.nii.gz,6738,3027
pass21_06_all_none_firstseg.nii.gz,6929,2990
act24_09_all_none_firstseg.nii.gz,6849,3150
