,labels,roi_di
0,2,0.8633236132792547
1,3,0.7492687533107626
2,4,0.7762162162162163
3,5,0.25806451612903225
4,7,0.8226813451968029
5,8,0.900865714329648
6,10,0.8731488157967718
7,11,0.8214447978191731
8,12,0.8483085541909071
9,13,0.8064516129032258
10,14,0.8276098901098901
11,15,0.7864669994453688
12,16,0.9349523604842753
13,17,0.7592036480925369
14,18,0.7754499852463853
15,24,0.7273788674839463
16,26,0.4915254237288135
17,28,0.8116927260367097
18,30,0.0
19,31,0.440677966101695
20,41,0.8698924502786097
21,42,0.7587112609822678
22,43,0.7992104790956397
23,44,0.35540069686411146
24,46,0.8336915553063576
25,47,0.9105155198938192
26,49,0.8934281650071124
27,50,0.8010832769126608
28,51,0.8248355263157894
29,52,0.8486475325211645
30,53,0.7871157276256426
31,54,0.8371268105232043
32,58,0.6179401993355481
33,60,0.8395259734473848
34,62,0.15384615384615388
35,63,0.47361299052774025
36,77,0.21281064053202656
37,85,0.448
38,251,0.8889990089197225
39,252,0.8062442607897152
40,253,0.8352868599629858
41,254,0.7700220426157237
42,255,0.8559498956158663
