,labels,roi_di
0,2,0.8153391325304208
1,3,0.677252192972994
2,4,0.7294612794612795
3,5,0.3172804532577904
4,7,0.7878090534055511
5,8,0.8164363231611168
6,10,0.8778291266737765
7,11,0.8223870532703978
8,12,0.8114342040413998
9,13,0.7464819224940463
10,14,0.7174887892376681
11,15,0.6691891891891891
12,16,0.9061254578543619
13,17,0.7055230338508527
14,18,0.7496671105193076
15,24,0.6226040978189028
16,26,0.5911179173047473
17,28,0.7797723806171537
18,30,0.0
19,31,0.3323996265172735
20,41,0.8696284813723971
21,42,0.7690286833369158
22,43,0.796376329787234
23,44,0.5032822757111598
24,46,0.8427030782708517
25,47,0.8665821044375805
26,49,0.8916215580136503
27,50,0.8432055749128919
28,51,0.885
29,52,0.8214114258281325
30,53,0.7990401919616077
31,54,0.8040695766327536
32,58,0.7221095334685599
33,60,0.7909005186232908
34,63,0.515129151291513
35,72,0.0
36,77,0.13544415127528592
37,85,0.4557823129251701
38,251,0.7740963855421686
39,252,0.8129675810473815
40,253,0.8225806451612903
41,254,0.7422512234910277
42,255,0.8340852130325814
