,labels,roi_di
0,2,0.803608846431872
1,3,0.6316407877090803
2,4,0.8673133602312073
3,5,0.48689516129032256
4,7,0.8449935096907032
5,8,0.9029524151670532
6,10,0.8859089279311582
7,11,0.4290689575110286
8,12,0.8027911613224787
9,13,0.7556390977443609
10,14,0.8310157907141174
11,15,0.8100200400801604
12,16,0.8853949434121424
13,17,0.7472527472527473
14,18,0.7028215463539759
15,24,0.7586860391661403
16,26,0.42696629213483156
17,28,0.78852495053858
18,30,0.0
19,31,0.5827814569536425
20,41,0.8168230328148459
21,42,0.6419522231222015
22,43,0.9280040061001981
23,44,0.7680293982544787
24,46,0.7831445400996829
25,47,0.8836382561351535
26,49,0.9145974680002797
27,50,0.7844799478317575
28,51,0.8229648671808055
29,52,0.7473426001635323
30,53,0.8816346872663843
31,54,0.8219895287958116
32,58,0.5992509363295881
33,60,0.8470505121865065
34,62,0.6153846153846153
35,63,0.7246653919694073
36,77,0.33611884865366765
37,85,0.2928709055876686
38,251,0.7058823529411764
39,252,0.5605605605605606
40,253,0.5527638190954773
41,254,0.5401459854014599
42,255,0.6080428954423592
