,labels,roi_di
0,2,0.8249837044707535
1,3,0.7143498409380211
2,4,0.9020224719101124
3,5,0.505
4,7,0.7668609492089924
5,8,0.8721274259876072
6,10,0.924737057778992
7,11,0.8858363858363859
8,12,0.8452413049339444
9,13,0.8134265734265734
10,14,0.8340659340659341
11,15,0.7579802669762042
12,16,0.9153038674033149
13,17,0.8328958880139983
14,18,0.8463073852295409
15,24,0.795778364116095
16,26,0.8
17,28,0.8831782191971107
18,30,0.0
19,31,0.5707236842105263
20,41,0.828198351019764
21,42,0.7141425586680726
22,43,0.8845605700712589
23,44,0.5353846153846155
24,46,0.8084853472317469
25,47,0.8959810874704492
26,49,0.9359898261975413
27,50,0.8550046772684752
28,51,0.9096108417257243
29,52,0.895085588072888
30,53,0.8668574699484831
31,54,0.9047756874095514
32,58,0.7512690355329948
33,60,0.8792437757954998
34,62,0.5882352941176471
35,63,0.6236766121270453
36,77,0.5373189070236567
37,85,0.736231884057971
38,251,0.8834476003917728
39,252,0.8311688311688311
40,253,0.8596300326441785
41,254,0.8124306326304106
42,255,0.8715313463514902
