,labels,roi_di
0,2,0.8398340574950189
1,3,0.7169508054612439
2,4,0.7439293598233996
3,5,0.7144790257104195
4,7,0.8186646588388515
5,8,0.8246119733924613
6,10,0.9058390976506512
7,11,0.8830282345640706
8,12,0.887630088262416
9,13,0.8700787401574802
10,14,0.7135250266240681
11,15,0.6581196581196581
12,16,0.9115973056237273
13,17,0.7835801506884905
14,18,0.8721189591078068
15,24,0.6422976501305483
16,26,0.6454689984101749
17,28,0.8531289910600255
18,30,0.2500000000000001
19,31,0.27747747747747736
20,41,0.7892276875139106
21,42,0.6538108439965283
22,43,0.6739227672580885
23,44,0.6114398422090729
24,46,0.7740635589339683
25,47,0.7895941727367326
26,49,0.8681463043628569
27,50,0.8112657818064097
28,51,0.8750143992627578
29,52,0.8168103448275862
30,53,0.7480559875583204
31,54,0.8494442573256988
32,58,0.7396504139834407
33,60,0.8109689213893967
34,63,0.29806259314456035
35,77,0.18253968253968259
36,85,0.6578947368421053
37,251,0.7829955511616411
38,252,0.7220939183987682
39,253,0.7778969957081545
40,254,0.7605118829981719
41,255,0.8941390277146751
