labels,gonzalez_alegre_pilot_09_passive,gonzalez_alegre_pilot_09_active,gonzalez_alegre_pilot_13_passive,gonzalez_alegre_pilot_13_active,gonzalez_alegre_pilot_11_passive,gonzalez_alegre_pilot_11_active,gonzalez_alegre_pilot_08_passive,gonzalez_alegre_pilot_08_active,gonzalez_alegre_pilot_15_passive,gonzalez_alegre_pilot_05_passive,gonzalez_alegre_pilot_05_active,gonzalez_alegre_pilot_06_passive,gonzalez_alegre_pilot_06_active,gonzalez_alegre_pilot_10_passive,gonzalez_alegre_pilot_10_active,gonzalez_alegre_pilot_07_passive,gonzalez_alegre_pilot_07_active,gonzalez_alegre_pilot_12_passive,gonzalez_alegre_pilot_12_active
2,0.851062912414149,0.863323613279255,0.901274506116056,0.886444561599266,0.646567341064929,0.644880373404707,0.679024356346201,0.660682557022335,0.845921000505593,0.947051575642135,0.943806758641458,0.828492010897577,0.803608846431872,0.8798512226713,0.815339132530421,0.802873937395817,0.824983704470754,0.683055091120719,0.864103906869156
3,0.725799578472134,0.749268753310763,0.809010974807741,0.779517852250936,0.442927755728165,0.45050377414957,0.485492344263121,0.470585271566373,0.720397351291594,0.896359829954498,0.892191389720787,0.667725521761628,0.63164078770908,0.781345459292459,0.677252192972994,0.685793844164885,0.714349840938021,0.536525502657098,0.765488401236838
4,0.750930432293158,0.776216216216216,0.838811717782973,0.821646864913124,0.482450542437779,0.506765398855604,0.814342233361642,0.799669284828441,0.758355109338468,0.947515998462339,0.96223456679509,0.901385727867247,0.867313360231207,0.799725062290575,0.729461279461279,0.887185431701754,0.902022471910112,0.804603735487128,0.946842984521868
5,0.257281553398058,0.258064516129032,0.543689320388349,0.524844720496894,0.097560975609756,0.061674008810573,0.580838323353293,0.539452495974235,0.793237971391418,0.816625916870416,0.875912408759124,0.577603143418468,0.486895161290323,0.515366430260047,0.31728045325779,0.38659793814433,0.505,0.312775330396476,0.73968253968254
7,0.808766205642018,0.822681345196803,0.896116157176808,0.901197998946814,0.629187455452601,0.620294666943349,0.783351997013811,0.788572283299678,0.866458463460337,0.911413713289446,0.925445564574367,0.742227931730593,0.844993509690703,0.845744966442953,0.787809053405551,0.722809836211898,0.766860949208992,0.610965609033532,0.889360780065005
8,0.897798632565991,0.900865714329648,0.941049875086536,0.942188434658166,0.786817286765468,0.766758066463173,0.853611754801642,0.856182551820075,0.864513443604253,0.945796032477768,0.9521211847978,0.877702571710343,0.902952415167053,0.864780929998321,0.816436323161117,0.847756605524365,0.872127425987607,0.747697076627643,0.935868292346904
10,0.877200632255954,0.873148815796772,0.910246821241586,0.90085264538697,0.693223382323602,0.718889704410489,0.851497249949073,0.853579247661381,0.896637022203899,0.942063940062606,0.95230413507555,0.924343569203382,0.885908927931158,0.909752376481634,0.877829126673776,0.888873616933544,0.924737057778992,0.775705052878966,0.911657083115525
11,0.825396825396825,0.821444797819173,0.877504370041683,0.840005540933647,0.570995670995671,0.586046511627907,0.352083333333333,0.304152340650622,0.861499764188021,0.862408553742262,0.903399892066918,0.611223799864773,0.429068957511029,0.874966023375917,0.822387053270398,0.855823652070301,0.885836385836386,0.669579464773348,0.823235130628127
12,0.812680756395996,0.848308554190907,0.889350217977995,0.86218864842793,0.584143377885784,0.605675436003547,0.650724384709373,0.67351598173516,0.847689362865737,0.902277572085718,0.893880550015745,0.798687845303867,0.802791161322479,0.880326118606231,0.8114342040414,0.824148435336472,0.845241304933944,0.713678844519966,0.88175605715469
13,0.747150696496412,0.806451612903226,0.891147662169654,0.853667953667954,0.397412863816026,0.463768115942029,0.54013503375844,0.660187185025198,0.816452442159383,0.881488286632981,0.921836834391793,0.791912384161752,0.755639097744361,0.809367476471876,0.746481922494046,0.825632563256326,0.813426573426573,0.707832573559884,0.867765427366807
14,0.807029876977153,0.82760989010989,0.833496571988247,0.826413206603302,0.597839135654262,0.607936507936508,0.81687325069972,0.828803245436106,0.673267326732673,0.925386313465784,0.949486114148261,0.864093567251462,0.831015790714117,0.765705838876571,0.717488789237668,0.721436343852013,0.834065934065934,0.744904526925552,0.910963312593864
15,0.77825220609166,0.786466999445369,0.876311188811189,0.873883685471575,0.552647975077881,0.606135729779981,0.580925594477116,0.583504098360656,0.675862068965517,0.885939036381514,0.90447400241838,0.793425783256292,0.81002004008016,0.771205357142857,0.669189189189189,0.730481603350284,0.757980266976204,0.490413178503916,0.867770838989954
16,0.9304575543755,0.934952360484275,0.951156605142258,0.953896550329599,0.826669689155875,0.836843006334532,0.893720025337074,0.892465614659073,0.918403445358763,0.95390625,0.963284690791744,0.886225836364933,0.885394943412142,0.929947701624002,0.906125457854362,0.89243942022497,0.915303867403315,0.841672161413689,0.936498392198897
17,0.768674698795181,0.759203648092537,0.797861211205393,0.816422418615058,0.594815107250954,0.577923784494087,0.795586058403983,0.783144068956082,0.818006430868167,0.883379816134697,0.898144413069786,0.805762422170675,0.747252747252747,0.804899171099839,0.705523033850853,0.811527671512369,0.832895888013998,0.575541748749811,0.871651090342679
18,0.741038318912237,0.775449985246385,0.818840579710145,0.820543093270366,0.533434076312807,0.540022132054592,0.746041798606713,0.724079702803107,0.900328587075575,0.893306492199296,0.887536385287113,0.730301978479695,0.702821546353976,0.841776110068793,0.749667110519308,0.84885993485342,0.846307385229541,0.725886047554957,0.887517797816801
24,0.667068031306442,0.727378867483946,0.691956124314442,0.688553682342502,0.398870455347688,0.440844009042954,0.710864485981309,0.687381788705755,0.653186274509804,0.872074382815005,0.871229322088874,0.832771409305462,0.75868603916614,0.699166132135985,0.622604097818903,0.683517640863612,0.795778364116095,0.588349987813795,0.847632442569151
26,0.478980891719745,0.491525423728813,0.688783570300158,0.585034013605442,0.049095607235142,0.070339976553341,0.359073359073359,0.228813559322034,0.708074534161491,0.810989010989011,0.738205365402405,0.421455938697318,0.426966292134832,0.652236652236652,0.591117917304747,0.718662952646239,0.8,0.217391304347826,0.591029023746702
28,0.778656126482214,0.81169272603671,0.846536224219989,0.79789029535865,0.517043372021991,0.540866835687553,0.817488006977758,0.761160475323841,0.8750598372427,0.889878695981805,0.923815801864582,0.827803079592279,0.78852495053858,0.834581347855684,0.779772380617154,0.84027972027972,0.883178219197111,0.63638928067701,0.830257782786308
41,0.857982850142915,0.86989245027861,0.879761872158624,0.88489911340009,0.672510464575474,0.689216090361393,0.687873527424036,0.667838091402627,0.777038573279113,0.9510783602801,0.951573689567195,0.823720609383951,0.816823032814846,0.907925817551718,0.869628481372397,0.809082449455785,0.828198351019764,0.722338997149947,0.853601469268636
42,0.733505448730792,0.758711260982268,0.764859675563672,0.775077588639142,0.444994503419426,0.473919847201933,0.499223900640886,0.487954242660909,0.630929728420894,0.912074342586985,0.915716802638589,0.656359037922807,0.641952223122201,0.832372315703028,0.769028683336916,0.686226235037279,0.714142558668073,0.58623788310422,0.748931954338824
43,0.776642161257546,0.79921047909564,0.796143250688705,0.805050353224109,0.514889073436944,0.571029017597017,0.89117845767783,0.882129642977272,0.645238451188519,0.94954898911353,0.963649235125735,0.935520128455098,0.928004006100198,0.83520692813723,0.796376329787234,0.868920207693123,0.884560570071259,0.827478268226137,0.939671937093092
44,0.316498316498316,0.355400696864111,0.585409252669039,0.548704200178731,0,0,0.589665653495441,0.579234972677596,0.614678899082569,0.722480620155039,0.747286821705426,0.785299806576402,0.768029398254479,0.649532710280374,0.50328227571116,0.559055118110236,0.535384615384615,0.432862190812721,0.709677419354839
46,0.834977110025502,0.833691555306358,0.882635178820567,0.888553054662379,0.688855822695591,0.658643710470836,0.745091766963893,0.727729797672627,0.796670520231214,0.835899220862674,0.928106553655214,0.768985031033224,0.783144540099683,0.835732094288304,0.842703078270852,0.685895181146676,0.808485347231747,0.637236262462323,0.902487924906589
47,0.910793785396287,0.910515519893819,0.933445212086042,0.935239187940211,0.795240653760161,0.817951786630193,0.838749755950374,0.826819431059714,0.804393946537174,0.924795104360179,0.958202499083861,0.880446176374097,0.883638256135153,0.879773497658561,0.86658210443758,0.858953059443021,0.895981087470449,0.780067677366318,0.935502447451771
49,0.847076872500137,0.893428165007112,0.904916169366297,0.904769818846601,0.758206195099399,0.766662178537768,0.916446073440576,0.873041253597697,0.873982372333984,0.924464236014473,0.958261143487163,0.933536496879988,0.91459746800028,0.895105786387968,0.89162155801365,0.900145348837209,0.935989826197541,0.795563506261181,0.913813286508633
50,0.784197111299915,0.801083276912661,0.805966173924624,0.817465800746165,0.506861522010337,0.524070879724008,0.745382859514422,0.68744971842317,0.771754865690848,0.896088264794383,0.808751665926255,0.796919566457501,0.784479947831757,0.869087837837838,0.843205574912892,0.814517209053167,0.855004677268475,0.728512960436562,0.82823259372609
51,0.820247278875621,0.824835526315789,0.84347914754767,0.871789902122299,0.582660037290242,0.627189583010386,0.784405318002156,0.548225469728601,0.864,0.877226872719467,0.897850562947799,0.867014576210185,0.822964867180806,0.893443480079473,0.885,0.863390725147669,0.909610841725724,0.802922940655447,0.893508697496818
52,0.744147157190635,0.848647532521164,0.812452253628724,0.826965305226175,0.526707234617985,0.549130897481376,0.827430293896006,0.466982852973367,0.825099375354912,0.707096774193548,0.895378364652108,0.763930242450021,0.747342600163532,0.836098541980895,0.821411425828133,0.850562105840417,0.895085588072888,0.715378079864061,0.884713919726729
53,0.787081843046497,0.787115727625643,0.7998096144693,0.80511792227633,0.516937850093358,0.550581317653348,0.833048154485456,0.840676292731087,0.710580380071905,0.901529171130807,0.902918287937743,0.88573915205769,0.881634687266384,0.857561332845112,0.799040191961608,0.871584379031312,0.866857469948483,0.642974958764432,0.863207547169811
54,0.771121351766513,0.837126810523204,0.775569000288101,0.809187279151943,0.613023952095808,0.631870031109575,0.660313138189244,0.672364672364672,0.831644328211834,0.861208304175414,0.919229004130335,0.792238206758113,0.821989528795812,0.869623655913978,0.804069576632754,0.880641330166271,0.904775687409551,0.739276703111859,0.867640918580376
58,0.539162112932605,0.617940199335548,0.711585866885785,0.7417004048583,0.297584541062802,0.405797101449275,0.507103825136612,0.148502994011976,0.784810126582278,0.805369127516779,0.745519713261649,0.438026474127557,0.599250936329588,0.752380952380952,0.72210953346856,0.714579055441478,0.751269035532995,0.568840579710145,0.497257769652651
60,0.753887202134511,0.839525973447385,0.829653968579936,0.807610993657505,0.521273818846254,0.550376707955561,0.86305767740507,0.835350283113134,0.815859030837004,0.884939704415631,0.906105501557044,0.844873734435005,0.847050512186507,0.827264239028945,0.790900518623291,0.827411842980705,0.8792437757955,0.620766240977235,0.844643099011242
