labels,gonzalez_alegre_pilot_09_passive,gonzalez_alegre_pilot_09_active,gonzalez_alegre_pilot_13_passive,gonzalez_alegre_pilot_13_active,gonzalez_alegre_pilot_11_passive,gonzalez_alegre_pilot_11_active,gonzalez_alegre_pilot_08_passive,gonzalez_alegre_pilot_08_active,gonzalez_alegre_pilot_05_passive,gonzalez_alegre_pilot_05_active,gonzalez_alegre_pilot_06_passive,gonzalez_alegre_pilot_06_active,gonzalez_alegre_pilot_10_passive,gonzalez_alegre_pilot_10_active,gonzalez_alegre_pilot_07_passive,gonzalez_alegre_pilot_07_active,gonzalez_alegre_pilot_12_passive,gonzalez_alegre_pilot_12_active
2,0.851020568883925,0.863296455278514,0.901293227549103,0.886474173176143,0.64651294181139,0.644913902231779,0.678888556968382,0.660581754886225,0.94702966679657,0.943826521030599,0.828637093762101,0.803767739584045,0.879808685654902,0.815314951581746,0.802979431893443,0.825107461648797,0.683253152349428,0.864165927710574
3,0.726096547772525,0.749494374619229,0.809194019005665,0.779689778602678,0.443178184143966,0.450786238579808,0.485666681102174,0.470845394661865,0.896382968942825,0.892287205634164,0.668160216596518,0.632016920854762,0.781576407135344,0.677580193387064,0.686213084208669,0.714781467701418,0.536881055154568,0.7656955962835
4,0.75100114416476,0.775857101699798,0.838252493980048,0.821080115432184,0.48155505107832,0.505722364346304,0.81424251211732,0.799404724995349,0.947620662371425,0.962291190828071,0.901454702578136,0.867280947747954,0.79927698399036,0.728622027323326,0.887177570093458,0.901913786000524,0.804645358666774,0.947055992299054
5,0.26378896882494,0.259803921568627,0.538461538461538,0.517719568567026,0.096514745308311,0.061269146608315,0.577777777777778,0.535885167464115,0.816524908869988,0.876427829698858,0.578336557059961,0.489087301587302,0.514018691588785,0.312849162011173,0.38659793814433,0.505,0.312316715542522,0.73851030110935
7,0.808536409516943,0.822728368281514,0.895995856666559,0.901201034132932,0.629424533734993,0.620413554005531,0.782816407270556,0.788094080694013,0.911202472766558,0.92526464564885,0.742255990648743,0.84508547008547,0.845623911003887,0.787632449402927,0.721738357625311,0.76585949728386,0.611284863544835,0.889533624907981
8,0.893496317411727,0.896136737767504,0.939824013624751,0.941006631678672,0.786786320807579,0.766802365112016,0.852043121812666,0.85439046142227,0.945375134174779,0.95189702911023,0.877656441924248,0.902975040946537,0.862432319866722,0.813205019380043,0.847578707210113,0.871944823489005,0.747888036750107,0.935995048580888
10,0.877445932028836,0.873814251047871,0.91046363249681,0.901316505276901,0.693529178245335,0.71877903118779,0.851446336847797,0.853391396146741,0.942401960784314,0.952584822862036,0.924315144355017,0.886175378463296,0.909770920991117,0.877899085275893,0.88852369213914,0.924668254508336,0.775862068965517,0.911576757319067
11,0.824888341290621,0.821428571428572,0.877471418964358,0.840005540933647,0.570995670995671,0.586046511627907,0.351716961498439,0.303877604853601,0.862325973843341,0.903451995685005,0.611123620806125,0.428969359331476,0.875033958163542,0.822704597546177,0.855739169271996,0.885736079328757,0.669031377899045,0.823006390664073
12,0.812410290383129,0.847823762164474,0.889003507324118,0.862446743761412,0.584100165937547,0.605251576940003,0.650873249178627,0.673704052780396,0.902493321460374,0.893794252394835,0.798146240988671,0.80290524925718,0.880702092776545,0.811165523996082,0.823513253673946,0.845145760898636,0.713804713804714,0.881918819188192
13,0.746806282722513,0.806146074510629,0.891216464535098,0.853415195702226,0.396570203644159,0.464166108506363,0.539836187639613,0.661434177666786,0.881456200227531,0.922370012091898,0.790268456375839,0.756271059528267,0.809399477806788,0.746448557899268,0.825457525266321,0.813559322033898,0.706221672847136,0.867378048780488
