,labels,roi_di
0,2,0.6790243563462006
1,3,0.48549234426312093
2,4,0.8143422333616422
3,5,0.5808383233532933
4,7,0.7833519970138111
5,8,0.8536117548016421
6,10,0.851497249949073
7,11,0.3520833333333334
8,12,0.6507243847093733
9,13,0.5401350337584395
10,14,0.81687325069972
11,15,0.5809255944771159
12,16,0.8937200253370735
13,17,0.7955860584039833
14,18,0.746041798606713
15,24,0.7108644859813085
16,26,0.3590733590733592
17,28,0.8174880069777584
18,30,0.044444444444444405
19,31,0.39619651347068147
20,41,0.6878735274240355
21,42,0.4992239006408856
22,43,0.8911784576778303
23,44,0.5896656534954408
24,46,0.745091766963893
25,47,0.8387497559503736
26,49,0.9164460734405756
27,50,0.7453828595144222
28,51,0.784405318002156
29,52,0.8274302938960061
30,53,0.8330481544854559
31,54,0.6603131381892444
32,58,0.507103825136612
33,60,0.8630576774050703
34,62,0.2727272727272728
35,63,0.6741674167416742
36,77,0.07323304002270802
37,85,0.33928571428571436
38,251,0.5798816568047338
39,252,0.4110996916752313
40,253,0.4907834101382488
41,254,0.4856459330143541
42,255,0.5353115727002967
