,labels,roi_di
0,2,0.8641039068691558
1,3,0.7654884012368381
2,4,0.9468429845218685
3,5,0.7396825396825396
4,7,0.8893607800650054
5,8,0.9358682923469036
6,10,0.9116570831155254
7,11,0.8232351306281268
8,12,0.8817560571546903
9,13,0.8677654273668072
10,14,0.910963312593864
11,15,0.8677708389899539
12,16,0.9364983921988967
13,17,0.8716510903426791
14,18,0.8875177978168012
15,24,0.8476324425691515
16,26,0.5910290237467019
17,28,0.830257782786308
18,30,0.6399999999999999
19,31,0.652235294117647
20,41,0.8536014692686362
21,42,0.7489319543388243
22,43,0.939671937093092
23,44,0.7096774193548387
24,46,0.9024879249065888
25,47,0.9355024474517708
26,49,0.9138132865086332
27,50,0.8282325937260904
28,51,0.8935086974968179
29,52,0.8847139197267293
30,53,0.8632075471698113
31,54,0.8676409185803758
32,58,0.4972577696526509
33,60,0.8446430990112421
34,62,0.2222222222222222
35,63,0.6501865671641791
36,77,0.5194054500412881
37,85,0.5827505827505828
38,251,0.2576489533011272
39,252,0.2074330164217804
40,253,0.28751576292559894
41,254,0.4816870144284129
42,255,0.6474358974358974
