,labels,roi_di
0,2,0.9470515756421349
1,3,0.8963598299544978
2,4,0.9475159984623386
3,5,0.8166259168704156
4,7,0.911413713289446
5,8,0.9457960324777682
6,10,0.9420639400626059
7,11,0.8624085537422622
8,12,0.9022775720857176
9,13,0.8814882866329812
10,14,0.9253863134657836
11,15,0.8859390363815143
12,16,0.9539062500000001
13,17,0.8833798161346967
14,18,0.8933064921992955
15,24,0.8720743828150048
16,26,0.810989010989011
17,28,0.8898786959818045
18,30,0.4799999999999999
19,31,0.7739098570905094
20,41,0.9510783602801
21,42,0.9120743425869846
22,43,0.9495489891135303
23,44,0.7224806201550388
24,46,0.8358992208626738
25,47,0.9247951043601792
26,49,0.9244642360144726
27,50,0.8960882647943831
28,51,0.8772268727194676
29,52,0.7070967741935484
30,53,0.9015291711308074
31,54,0.861208304175414
32,58,0.8053691275167786
33,60,0.8849397044156314
34,62,0.33333333333333326
35,63,0.732078853046595
36,77,0.44798234552332905
37,85,0.6526806526806527
38,251,0.9530516431924883
39,252,0.8773195876288659
40,253,0.9210342417889589
41,254,0.8609125893347993
42,255,0.9035916824196597
