,labels,gonzalez_alegre_pilot_09,gonzalez_alegre_pilot_13,gonzalez_alegre_pilot_11,gonzalez_alegre_pilot_08,gonzalez_alegre_pilot_15,gonzalez_alegre_pilot_05,gonzalez_alegre_pilot_06,gonzalez_alegre_pilot_10,gonzalez_alegre_pilot_07,gonzalez_alegre_pilot_12
0,2,0.8633236132792547,0.8864445615992658,0.6448803734047067,0.660682557022335,0.8459210005055933,1.0,0.803608846431872,0.8153391325304208,0.8249837044707535,0.8641039068691558
1,3,0.7492687533107626,0.779517852250936,0.45050377414956944,0.4705852715663732,0.7203973512915943,1.0,0.6316407877090803,0.677252192972994,0.7143498409380211,0.7654884012368381
2,4,0.7762162162162163,0.8216468649131241,0.5067653988556042,0.7996692848284415,0.7583551093384678,1.0,0.8673133602312073,0.7294612794612795,0.9020224719101124,0.9468429845218685
3,5,0.25806451612903225,0.5248447204968943,0.061674008810572764,0.5394524959742352,0.7932379713914175,1.0,0.48689516129032256,0.3172804532577904,0.505,0.7396825396825396
4,7,0.8226813451968029,0.9011979989468142,0.6202946669433493,0.7885722832996784,0.8664584634603373,1.0,0.8449935096907032,0.7878090534055511,0.7668609492089924,0.8893607800650054
5,8,0.900865714329648,0.9421884346581659,0.7667580664631728,0.8561825518200749,0.8645134436042536,1.0,0.9029524151670532,0.8164363231611168,0.8721274259876072,0.9358682923469036
6,10,0.8731488157967718,0.9008526453869699,0.7188897044104892,0.8535792476613813,0.896637022203899,1.0,0.8859089279311582,0.8778291266737765,0.924737057778992,0.9116570831155254
7,11,0.8214447978191731,0.8400055409336473,0.586046511627907,0.3041523406506216,0.8614997641880207,1.0,0.4290689575110286,0.8223870532703978,0.8858363858363859,0.8232351306281268
8,12,0.8483085541909071,0.8621886484279297,0.6056754360035471,0.6735159817351598,0.8476893628657369,1.0,0.8027911613224787,0.8114342040413998,0.8452413049339444,0.8817560571546903
9,13,0.8064516129032258,0.8536679536679537,0.4637681159420291,0.6601871850251979,0.8164524421593831,1.0,0.7556390977443609,0.7464819224940463,0.8134265734265734,0.8677654273668072
10,14,0.8276098901098901,0.8264132066033016,0.6079365079365079,0.8288032454361055,0.6732673267326732,1.0,0.8310157907141174,0.7174887892376681,0.8340659340659341,0.910963312593864
11,15,0.7864669994453688,0.8738836854715748,0.6061357297799813,0.5835040983606558,0.6758620689655173,1.0,0.8100200400801604,0.6691891891891891,0.7579802669762042,0.8677708389899539
12,16,0.9349523604842753,0.9538965503295992,0.8368430063345318,0.892465614659073,0.9184034453587634,1.0,0.8853949434121424,0.9061254578543619,0.9153038674033149,0.9364983921988967
13,17,0.7592036480925369,0.8164224186150576,0.5779237844940868,0.7831440689560816,0.8180064308681672,1.0,0.7472527472527473,0.7055230338508527,0.8328958880139983,0.8716510903426791
14,18,0.7754499852463853,0.820543093270366,0.5400221320545925,0.7240797028031071,0.900328587075575,1.0,0.7028215463539759,0.7496671105193076,0.8463073852295409,0.8875177978168012
15,24,0.7273788674839463,0.6885536823425021,0.440844009042954,0.6873817887057552,0.6531862745098039,1.0,0.7586860391661403,0.6226040978189028,0.795778364116095,0.8476324425691515
16,26,0.4915254237288135,0.5850340136054422,0.07033997655334119,0.2288135593220339,0.7080745341614907,1.0,0.42696629213483156,0.5911179173047473,0.8,0.5910290237467019
17,28,0.8116927260367097,0.7978902953586499,0.5408668356875528,0.7611604753238411,0.8750598372426999,1.0,0.78852495053858,0.7797723806171537,0.8831782191971107,0.830257782786308
18,30,0.0,0.12499999999999997,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.6399999999999999
19,31,0.440677966101695,0.4676258992805755,0.1254237288135593,0.3826799297834992,0.29310344827586204,1.0,0.5827814569536425,0.3323996265172735,0.5707236842105263,0.652235294117647
20,41,0.8698924502786097,0.8848991134000901,0.689216090361393,0.6678380914026274,0.7770385732791135,1.0,0.8168230328148459,0.8696284813723971,0.828198351019764,0.8536014692686362
21,42,0.7587112609822678,0.7750775886391422,0.4739198472019327,0.4879542426609087,0.6309297284208939,1.0,0.6419522231222015,0.7690286833369158,0.7141425586680726,0.7489319543388243
22,43,0.7992104790956397,0.8050503532241093,0.5710290175970166,0.8821296429772717,0.6452384511885185,1.0,0.9280040061001981,0.796376329787234,0.8845605700712589,0.939671937093092
23,44,0.35540069686411146,0.5487042001787309,0.0,0.5792349726775957,0.6146788990825689,1.0,0.7680293982544787,0.5032822757111598,0.5353846153846155,0.7096774193548387
24,46,0.8336915553063576,0.8885530546623793,0.6586437104708364,0.727729797672627,0.7966705202312139,1.0,0.7831445400996829,0.8427030782708517,0.8084853472317469,0.9024879249065888
25,47,0.9105155198938192,0.935239187940211,0.8179517866301932,0.8268194310597137,0.8043939465371741,1.0,0.8836382561351535,0.8665821044375805,0.8959810874704492,0.9355024474517708
26,49,0.8934281650071124,0.9047698188466013,0.7666621785377675,0.8730412535976975,0.8739823723339838,1.0,0.9145974680002797,0.8916215580136503,0.9359898261975413,0.9138132865086332
