pilot_15,passive_9,1996.2,1750.5,3746.7,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Measure:volume,Mode,Left-Putamen,Right-Putamen,Putamen,Difference,,Active,66.6000000000004,50,261.1,9.90000000000146,340.200000000001,112.9,140.300000000001,49.8999999999996
pilot_05,passive_21,4557.4,4519.4,9076.8,239.900000000001,,Passive,657.9,72.2999999999993,12.0999999999985,52.6000000000004,304.1,153.7,685.200000000001,369.1
pilot_05,passive_9,4483.9,4832.8,9316.7,,,,,,,,,,,
pilot_06,active_12,3059.1,2809.2,5868.3,66.6000000000004,,,,,,,,,,
pilot_06,active_24,3104.2,2830.7,5934.9,,,,,,,,,,,
pilot_06,passive_21,2610.3,2577.9,5188.2,657.9,,,,,,,,,,
pilot_06,passive_9,3124.5,2721.6,5846.1,,,,,,,,,,,
pilot_07,active_12,3779.9,3928,7707.9,50,,,,,,,,,,
pilot_07,active_24,3776.8,3981.1,7757.9,,,,,,,,,,,
pilot_07,passive_21,3675.6,3981.3,7656.9,72.2999999999993,,,,,,,,,,
pilot_07,passive_9,3698,3886.6,7584.6,,,,,,,,,,,
pilot_08,active_24,2599,2145.6,4744.6,,,,,,,,,,,
pilot_08,passive_21,3045.9,2889.1,5935,852.200000000001,,,,,,,,,,
pilot_08,passive_9,2658.6,2424.2,5082.8,,,,,,,,,,,
pilot_09,active_12,4716.8,4935.9,9652.7,261.1,,,,,,,,,,
pilot_09,active_24,4708,4683.6,9391.6,,,,,,,,,,,
pilot_09,passive_21,4608.8,4726.7,9335.5,12.0999999999985,,,,,,,,,,
pilot_09,passive_9,4599.9,4747.7,9347.6,,,,,,,,,,,
pilot_10,active_12,5161.8,4962.1,10123.9,9.90000000000146,,,,,,,,,,
pilot_10,active_24,5162.1,4951.9,10114,,,,,,,,,,,
pilot_10,passive_21,5262.5,4730.5,9993,52.6000000000004,,,,,,,,,,
pilot_10,passive_9,5179,4866.6,10045.6,,,,,,,,,,,
pilot_11,active_12,3530.8,3199.8,6730.6,340.200000000001,,,,,,,,,,
pilot_11,active_24,3277.8,3112.6,6390.4,,,,,,,,,,,
pilot_11,passive_21,3385.7,2950.8,6336.5,304.1,,,,,,,,,,
pilot_11,passive_9,3287.1,3353.5,6640.6,,,,,,,,,,,
pilot_12,active_12,2389,2340,4729,112.9,,,,,,,,,,
pilot_12,active_24,2437.5,2178.6,4616.1,,,,,,,,,,,
pilot_12,passive_21,2387.9,1986.1,4374,153.7,,,,,,,,,,
pilot_12,passive_9,2233,2294.7,4527.7,,,,,,,,,,,
pilot_13,active_12,5027.4,5208.4,10235.8,140.300000000001,,,,,,,,,,
pilot_13,active_24,5146.5,5229.6,10376.1,,,,,,,,,,,
pilot_13,passive_21,5178.1,5145.9,10324,685.200000000001,,,,,,,,,,
pilot_13,passive_9,4881.4,4757.4,9638.8,,,,,,,,,,,
pilot_15,active_12,3908.5,4327.8,8236.3,49.8999999999996,,,,,,,,,,
pilot_15,active_24,3803.2,4383.2,8186.4,,,,,,,,,,,
pilot_15,passive_21,3881.2,4220.8,8102,369.1,,,,,,,,,,
pilot_15,passive_9,3607.7,4125.2,7732.9,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
